order_id,date,customer_id,category,subcategory,price,size,color,returned,rating,payment_method,margin,day_of_week,day_of_month
ORDER_0001,2022-01-01,CUST_0112,Saias,Longa,354.95,M,Preto,False,4,Boleto,128.17,5,1
ORDER_0002,2022-01-01,CUST_0301,Calças,Social,405.07,P,Preto,False,4,Credit Card,146.28,5,1
ORDER_0003,2022-01-01,CUST_0077,Calças,Social,260.4,M,Preto,False,5,PIX,94.03,5,1
ORDER_0004,2022-01-01,CUST_0177,Blusas,Moletom,275.0,GG,Branco,True,3,PIX,85.94,5,1
ORDER_0005,2022-01-01,CUST_0343,Calças,Jeans,315.49,GG,Branco,False,3,Debit Card,105.16,5,1
ORDER_0006,2022-01-02,CUST_0148,Acessórios,Cintos,141.65,Único,Prata,False,2,PIX,49.19,6,2
ORDER_0007,2022-01-02,CUST_0101,Calças,Jeans,228.82,G,Preto,False,4,Boleto,76.27,6,2
ORDER_0008,2022-01-02,CUST_0246,Vestidos,Festa,464.24,P,Preto,False,4,Credit Card,177.31,6,2
ORDER_0009,2022-01-02,CUST_0117,Vestidos,Praia,147.63,M,Rosa,False,4,PIX,51.26,6,2
ORDER_0010,2022-01-02,CUST_0092,Saias,Longa,346.82,M,Rosa,True,2,Boleto,125.24,6,2
ORDER_0011,2022-01-03,CUST_0401,Acessórios,Cintos,148.02,Único,Preto,False,4,Debit Card,61.67,0,3
ORDER_0012,2022-01-03,CUST_0028,Acessórios,Bijuterias,117.58,Único,Preto,False,5,Boleto,58.79,0,3
ORDER_0013,2022-01-03,CUST_0425,Saias,Midi,255.47,P,Vermelho,False,5,Credit Card,106.44,0,3
ORDER_0014,2022-01-04,CUST_0450,Vestidos,Praia,174.41,G,Azul,False,4,Boleto,72.67,1,4
ORDER_0015,2022-01-04,CUST_0025,Saias,Midi,182.05,M,Rosa,False,4,Debit Card,75.86,1,4
ORDER_0016,2022-01-05,CUST_0058,Blusas,Social,159.77,GG,Rosa,True,3,PIX,63.91,2,5
ORDER_0017,2022-01-05,CUST_0498,Blusas,Social,197.29,GG,Branco,False,5,PIX,78.92,2,5
ORDER_0018,2022-01-05,CUST_0297,Calças,Jeans,193.46,M,Branco,False,5,Credit Card,77.39,2,5
ORDER_0019,2022-01-05,CUST_0134,Vestidos,Festa,396.4,P,Preto,False,3,Boleto,181.68,2,5
ORDER_0020,2022-01-05,CUST_0331,Acessórios,Bolsas,324.22,Único,Dourado,False,5,PIX,148.6,2,5
ORDER_0021,2022-01-06,CUST_0249,Acessórios,Cintos,67.52,Único,Dourado,False,4,PIX,33.76,3,6
ORDER_0022,2022-01-07,CUST_0038,Blusas,Moletom,162.73,M,Preto,False,5,Debit Card,73.23,4,7
ORDER_0023,2022-01-07,CUST_0390,Acessórios,Cintos,120.23,Único,Dourado,False,5,Debit Card,60.12,4,7
ORDER_0024,2022-01-07,CUST_0429,Acessórios,Bolsas,165.65,Único,Dourado,False,2,PIX,91.11,4,7
ORDER_0025,2022-01-07,CUST_0075,Vestidos,Festa,532.27,M,Azul,False,5,Credit Card,292.75,4,7
ORDER_0026,2022-01-07,CUST_0142,Calças,Moletom,177.75,GG,Branco,False,3,Credit Card,79.99,4,7
ORDER_0027,2022-01-08,CUST_0322,Blusas,Moletom,219.8,M,Rosa,False,5,Credit Card,82.43,5,8
ORDER_0028,2022-01-08,CUST_0168,Vestidos,Festa,592.94,M,Vermelho,False,3,Boleto,271.77,5,8
ORDER_0029,2022-01-08,CUST_0259,Calças,Social,236.72,GG,Branco,False,5,Credit Card,102.58,5,8
ORDER_0030,2022-01-09,CUST_0373,Blusas,T-shirt,99.6,GG,Branco,True,1,Debit Card,34.86,6,9
ORDER_0031,2022-01-09,CUST_0355,Vestidos,Casual,183.72,M,Rosa,False,3,Credit Card,68.89,6,9
ORDER_0032,2022-01-09,CUST_0225,Blusas,T-shirt,68.08,GG,Azul,False,5,Debit Card,23.83,6,9
ORDER_0033,2022-01-10,CUST_0152,Saias,Midi,134.81,M,Vermelho,False,4,Credit Card,67.41,0,10
ORDER_0034,2022-01-10,CUST_0019,Blusas,Moletom,113.96,G,Branco,False,5,PIX,51.28,0,10
ORDER_0035,2022-01-10,CUST_0146,Acessórios,Bijuterias,45.74,Único,Marrom,False,5,Credit Card,27.44,0,10
ORDER_0036,2022-01-11,CUST_0448,Acessórios,Bolsas,405.03,Único,Prata,False,4,Credit Card,222.77,1,11
ORDER_0037,2022-01-11,CUST_0241,Calças,Jeans,146.62,G,Branco,False,5,PIX,70.38,1,11
ORDER_0038,2022-01-11,CUST_0372,Calças,Social,210.82,P,Azul,False,5,Credit Card,109.63,1,11
ORDER_0039,2022-01-11,CUST_0381,Saias,Mini,147.96,M,Rosa,False,5,Credit Card,69.54,1,11
ORDER_0040,2022-01-12,CUST_0344,Blusas,Moletom,193.33,P,Preto,True,4,Credit Card,87.0,2,12
ORDER_0041,2022-01-12,CUST_0237,Acessórios,Bolsas,280.72,Único,Preto,False,5,Boleto,154.4,2,12
ORDER_0042,2022-01-12,CUST_0035,Acessórios,Cintos,89.66,Único,Marrom,False,4,Credit Card,44.83,2,12
ORDER_0043,2022-01-12,CUST_0190,Saias,Longa,232.41,P,Azul,False,3,Credit Card,120.85,2,12
